Date,Open,High,Low,Close,Volume
2025-05-07 13:00:00,95826.14,95826.14,20077.9,95826.14,0.64976
2025-05-07 14:00:00,95826.14,99811.1,95826.14,96938.0,59.35014
2025-05-07 15:00:00,96938.0,97015.89,96769.83,96923.9,62.26466
2025-05-07 16:00:00,96923.9,96952.4,21206.1,96865.08,112.26919
2025-05-07 17:00:00,96865.08,96893.43,91900.0,96283.57,94.14581
2025-05-07 18:00:00,96283.57,96845.71,19435.9,96523.99,119.49633
2025-05-07 19:00:00,96523.99,96933.83,95798.18,96200.31,112.57696
2025-05-07 20:00:00,96200.32,96750.0,96119.47,96749.87,103.04871
2025-05-07 21:00:00,96750.0,97313.7,93000.0,97130.08,97.02253
2025-05-07 22:00:00,97140.0,97274.35,97021.3,97262.88,90.76707
2025-05-07 23:00:00,97262.88,97387.51,96989.13,97006.68,67.52007
2025-05-08 00:00:00,97018.48,104553.6,96840.25,97673.2,102.52511
2025-05-08 01:00:00,97549.92,98260.01,20116.3,97808.92,117.5014
2025-05-08 02:00:00,97827.55,98813.0,97826.75,98685.99,111.48701
2025-05-08 03:00:00,98685.99,99170.02,98533.17,99166.22,97.02851
2025-05-08 04:00:00,99166.19,99369.56,98928.69,98986.0,83.97745
2025-05-08 05:00:00,98990.39,99077.99,98741.23,98753.49,60.5191
2025-05-08 06:00:00,98757.6,98997.02,98735.69,98990.09,63.12692
2025-05-08 07:00:00,98971.43,100113.0,98691.09,99239.26,83.01753
2025-05-08 08:00:00,99239.26,101324.6,99233.0,99666.68,103.05867
2025-05-08 09:00:00,99666.68,101477.1,98914.1,99747.01,126.07982
2025-05-08 10:00:00,99747.46,99950.41,99685.11,99780.67,83.16604
2025-05-08 11:00:00,99780.67,99782.98,98691.09,99411.69,76.29844
2025-05-08 12:00:00,99411.69,99538.5,21423.2,99275.09,101.32577
2025-05-08 13:00:00,99276.76,99629.75,99090.66,99265.65,101.94768
2025-05-08 14:00:00,99265.65,106827.6,20657.0,99451.93,148.73444
2025-05-08 15:00:00,99451.93,106827.6,99319.93,100770.0,122.97761
2025-05-08 16:00:00,100808.45,101355.3,20492.5,101276.48,112.02673
2025-05-08 17:00:00,101276.48,101656.48,20329.3,101021.76,112.22822
2025-05-08 18:00:00,101021.76,101450.0,100992.69,101369.95,115.79917
2025-05-08 19:00:00,101370.01,117411.8,100985.51,101252.51,127.3124
2025-05-08 20:00:00,101252.51,110861.1,99000.0,102441.0,127.17029
2025-05-08 21:00:00,102441.0,105513.58,21658.2,102814.84,150.42119
2025-05-08 22:00:00,102814.84,105789.52,20984.9,103000.0,132.14018
2025-05-08 23:00:00,103000.0,103257.07,79000.0,103236.0,106.07069
2025-05-09 00:00:00,103236.0,106290.04,102592.11,102820.01,108.39204
2025-05-09 01:00:00,102824.91,105858.35,102591.54,103082.0,101.88435
2025-05-09 02:00:00,103082.0,103128.17,102537.69,102564.99,94.63094
2025-05-09 03:00:00,102565.99,102797.67,102378.59,102465.02,91.83043
2025-05-09 04:00:00,102465.02,102840.01,100870.82,102791.5,82.55695
2025-05-09 05:00:00,102791.5,102971.33,102605.32,102957.14,78.9394
2025-05-09 06:00:00,102957.13,103236.96,102924.73,103202.83,86.58149
2025-05-09 07:00:00,103202.83,105078.1,20041.4,103662.46,120.68037
2025-05-09 08:00:00,103660.94,103872.51,102653.08,102980.0,95.05655
2025-05-09 09:00:00,102968.26,103257.03,102430.94,102938.0,97.04271
2025-05-09 10:00:00,102936.53,103453.3,20032.0,103349.22,108.56107
